RunName,SpoligoType(MiruHero),SpoligoType(Spotyping),MiruType(MiruHero),MiruType(mirureader),Lineage(MiruHero),Lineages(tb-profiler),Resistance(tb-profiler),Family(SpolLineages)
GCA_001318865.1_5237_8_11_genomic,777777777760771,777777777760771,2121221212112-122-111112,21211212----2121-122----,Euro-American,lineage4.8,ND,T1
GCA_001322205.1_6954_7_37_genomic,000000000003771,000000000003771,2132241213212-2211132312,213113242223414121232-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001322345.1_6954_7_4_genomic,000000000003771,000000000003771,212222151223212211121122,2131322322222221-1322-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001318145.1_4948_5_6_genomic,777737557760771,777737557760771,21321213132211222111-112,213123-2121-2121312322-2,Euro-American,lineage4.7,ND,T5-Madrid2
GCA_001323685.1_7841_6_4_genomic,000000000003771,000000000003771,212222131221212321222122,223112232323222131322212,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001318565.1_5237_7_7_genomic,674000003413771,674000003413771,213223221222111111111112,212-232-21-22-3221222112,Indo-Oceanic,lineage1.2.1.2.1,ND,EAI2-Nonthaburi
GCA_001322385.1_6954_1_95_genomic,000000000003771,000000000003771,232223131322212411112112,213-22222-23223131232-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001318545.1_5477_8_1_genomic,000000000003771,000000000003771,2211111112211-121-122112,2-22111312132111-12221-2,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001318465.1_5477_7_4_genomic,777777777760771,777777777760771,2221111412213-22-1111112,213212121232211141222--2,Euro-American,lineage4.1.2.1,streptomycin(R),T1
GCA_001324265.1_7755_2_44_genomic,770000770000000,770000770000000,212122121321212221112122,213112122223222121332-12,Euro-American,lineage4.8,ND,Unknown
GCA_001322045.1_6954_8_70_genomic,677777607760771,677777607760771,312222121221111222111-12,312112222212122121222-22,Euro-American,lineage4.3.4.1,ND,LAM1
GCA_001323405.1_7841_7_59_genomic,000000000003771,000000000003771,232222122322211311111112,212-22222-22222122232-12,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001318685.1_5319_2_10_genomic,000000000003771,000000000003771,212222131231311411221122,2-21122----22221-1322--3,East Asian,lineage2.2.1,ND,Beijing
GCA_001323205.1_7314_8_81_genomic,000000000003771,000000000003771,232223142322211231312112,232-22222-232231422323-2,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001318505.1_5477_8_2_genomic,777777777760771,777777777760771,2112111311212-121-121112,2121112312222111312121-2,Euro-American,lineage4.1.2.1,ND,T1
GCA_001317905.1_5227_8_3_genomic,000000000003771,000000000003771,2122221322213123-111-112,2--112-------221-22-2--2,East Asian,lineage2.2.1,streptomycin(R),Beijing
